species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Wahlenbergia linarioides (Lam.) A.DC.,blue,actinomorphic,bees,Campanulaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Acianthera bragae (Ruschi) F.Barros,greenish,zygomorphic,flies,"Pleurothallidinae orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Acicarpha Juss.,white,actinomorphic,flies,Calyceraceae small generalist flowers.,mixed_mating,likely_SC,inference,low
Acicarpha spathulata R.Br.,white,actinomorphic,flies,Calyceraceae generalist pollination.,mixed_mating,likely_SC,inference,medium
Andropogon arenarius Hack.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Anemia phyllitidis var. pluripinnae Mickel,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Anthurium sellowianum Kunth,greenish,spadix,beetles,Araceae pollinated by beetles/flies.,obligate_outcrossing,likely_SI,inference,medium
Aphelandra chamissoniana var. paranaensis Rizzini,red,tubular,birds,Acanthaceae hummingbird syndrome.,obligate_outcrossing,likely_SI,inference,medium
Aristida circinalis Lindm.,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Bambusa tuldoides Munro,none,reduced,wind,"Bamboo; wind pollination, mast flowering.",obligate_outcrossing,SI,inference,high
Banara parviflora (A.Gray) Benth.,white,actinomorphic,bees,Salicaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Begonia fischeri Schrank,pink,zygomorphic,flies,"Begoniaceae fly pollination, frequent autogamy.",mixed_mating,likely_SC,inference,high
Begonia leptotricha C.DC.,pink,zygomorphic,flies,Begoniaceae fly pollination.,mixed_mating,likely_SC,inference,high
Bifrenaria aureofulva (Hook.) Lindl.,yellow,zygomorphic,bees,Orchidaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Brassavola tuberculata Hook.,white,tubular,moths,Nocturnal moth-pollinated orchid.,obligate_outcrossing,likely_SI,inference,high
Calibrachoa caesia (Sendtn.) Wijsman,purple,funnelform,bees,Solanaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Campuloclinium DC.,purple,capitulum,bees,Asteraceae generalist.,mixed_mating,likely_SC,inference,low
Campylocentrum insulare C.E.Siqueira & E.M.Pessoa,greenish,zygomorphic,flies,"Leafless orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Carex bonariensis Desf. ex Poir.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Carex sororia Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cattleya purpurata (Lindl. & Paxton) Van den Berg,pink,zygomorphic,bees,Large bee-pollinated orchid.,obligate_outcrossing,likely_SI,inference,high
Cattleya tigrina A.Rich.,orange,zygomorphic,bees,Bee-pollinated orchid.,obligate_outcrossing,likely_SI,inference,high
Cayaponia Silva Manso,white,actinomorphic,bees,Cucurbitaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Cenchrus incertus M.A.Curtis,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cestrum bracteatum Link & Otto,greenish,tubular,moths,Nocturnal moth pollination.,obligate_outcrossing,likely_SI,inference,medium
Chrysophyllum viride Mart. & Eichler,white,actinomorphic,bees,Sapotaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Cleistes libonii (Rchb.f.) Schltr.,pink,zygomorphic,bees,"Terrestrial orchid, bee pollination.",obligate_outcrossing,likely_SI,inference,high
Cliococca selaginoides (Lam.) C.M.Rogers & Mildner,white,actinomorphic,flies,Plantaginaceae small generalist flowers.,mixed_mating,likely_SC,inference,medium
Clusia criuva subsp. parviflora Vesque,white,actinomorphic,bees,Clusiaceae resin-bee pollination.,obligate_outcrossing,likely_SI,inference,high
Coccocypselum capitatum (Graham) C.B.Costa & Mamede,blue,actinomorphic,bees,Rubiaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Conyza primulifolia (Lam.) Cuatrec. & Lourteig,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Crocodeilanthe spiralis (Lindl.) Toscano,greenish,zygomorphic,flies,Pleurothallidinae orchid.,obligate_outcrossing,likely_SI,inference,medium
Ctenanthe Eichler,white,zygomorphic,bees,Marantaceae pollinated by bees.,obligate_outcrossing,likely_SI,inference,medium
Cuphea calophylla Cham. & Schltdl.,purple,tubular,bees,Lythraceae bee pollination.,mixed_mating,likely_SC,inference,medium
Cyathea atrovirens (Langsd. & Fisch.) Domin,none,none,unknown,Tree fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Cyathea phalerata Mart.,none,none,unknown,Tree fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Cyperus chalaranthus J.Presl & C.Presl,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cyperus hermaphroditus (Jacq.) Standl.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cyperus incomtus Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Cyperus prolixus Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Dahlstedtia pentaphylla (Taub.) Burkart,purple,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Dalechampia micromeria Baill.,greenish,reduced,bees,Euphorbiaceae resin-bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Dorstenia carautae C.C.Berg,greenish,reduced,flies,Moraceae fly pollination.,mixed_mating,likely_SC,inference,medium
Dyssochroma longipes (Sendtn.) Miers,white,tubular,moths,Solanaceae moth pollination.,obligate_outcrossing,likely_SI,inference,medium
Elaphoglossum glaziovii (Fée) Brade,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Eleocharis pauciglumis R.Trevis. & D.J.Rosen,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Enydra sessilis (Sw.) DC.,white,actinomorphic,flies,Asteraceae aquatic generalist.,mixed_mating,likely_SC,inference,medium
Epidendrum henschenii Barb.Rodr.,greenish,zygomorphic,bees,Generalist orchid pollination.,obligate_outcrossing,likely_SI,inference,medium
Erythroxylum cuspidifolium Mart.,white,actinomorphic,flies,Erythroxylaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Eugenia bacopari D.Legrand,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Fimbristylis dichotoma var. dichotoma,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Galianthe Griseb.,white,actinomorphic,flies,Rubiaceae generalist pollination.,mixed_mating,likely_SC,inference,low
Guadua chacoensis (Rojas Acosta) Londoño & P.M.Peterson,none,reduced,wind,Bamboo; wind pollination.,obligate_outcrossing,SI,inference,high
Handroanthus pulcherrimus (Sandwith) Mattos,yellow,tubular,bees,Bignoniaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Helianthus argophyllus Torr. & A.Gray,yellow,capitulum,bees,Asteraceae bee pollination.,mixed_mating,likely_SC,inference,high
Hippeastrum reticulatum (L'Hér.) Herb.,red,tubular,birds,Amaryllidaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Hymenophyllum asplenioides (Sw.) Sw.,none,none,unknown,Filmy fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Hypochaeris megapotamica Cabrera,yellow,capitulum,bees,Asteraceae bee pollination.,mixed_mating,likely_SC,inference,medium
Jobinia connivens (Hook. & Arn.) Malme,white,actinomorphic,flies,Apocynaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Laurembergia tetrandra (Schott) Kanitz,white,actinomorphic,flies,Haloragaceae small generalist flowers.,mixed_mating,likely_SC,inference,medium
Ludwigia hookeri (Micheli) H.Hara,yellow,actinomorphic,bees,Onagraceae bee pollination.,mixed_mating,likely_SC,inference,medium
Magnolia ovata (A.St.-Hil.) Spreng.,white,actinomorphic,beetles,Magnoliaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,high
Mandevilla pohliana (Stadelm.) A.H.Gentry,pink,tubular,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
"Manekia obtusa (Miq.) T.Arias, Callejas & Bornst.",greenish,spike,flies,Piperaceae-like insect pollination.,mixed_mating,likely_SC,inference,medium
Maxillaria lindleyana Schltr.,yellow,zygomorphic,bees,Orchidaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Miconia australis (Cham.) R.Goldenb.,white,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Miconia dasytricha (A.Gray) R.Goldenb.,white,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Ocimum carnosum (Spreng.) Link & Otto ex Benth.,white,bilabiate,bees,Lamiaceae bee pollination.,mixed_mating,likely_SC,inference,medium
Oxypetalum R.Br.,white,actinomorphic,bees,Apocynaceae bee pollination.,obligate_outcrossing,likely_SI,inference,low
Pachystroma longifolium (Nees) I.M.Johnst.,greenish,reduced,flies,Euphorbiaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Peixotoa A.Juss.,yellow,actinomorphic,bees,Malpighiaceae oil-bee pollination.,obligate_outcrossing,likely_SI,inference,low
Phyllanthus stipulatus (Raf.) G.L.Webster,greenish,reduced,flies,Phyllanthaceae insect pollination.,mixed_mating,likely_SC,inference,medium
Phymatidium falcifolium Lindl.,greenish,zygomorphic,flies,"Small epiphytic orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Pleroma D.Don,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,low
Pleurostachys Brongn.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,low
Porcelia macrocarpa (Warm.) R.E.Fr.,white,actinomorphic,beetles,Annonaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Prescottia densiflora (Brongn.) Lindl.,greenish,zygomorphic,flies,"Terrestrial orchid, fly pollination.",obligate_outcrossing,likely_SI,inference,medium
Promenaea xanthina (Lindl.) Lindl.,yellow,zygomorphic,bees,Orchidaceae bee pollination.,obligate_outcrossing,likely_SI,inference,high
Pseuderanthemum riedelianum (Nees) Radlk.,white,tubular,bees,Acanthaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Pterocaulon Elliott,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,low
Rhynchospora panicoides Schrad. ex Nees,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Schefflera calva (Cham.) Frodin & Fiaschi,greenish,umbel,flies,Araliaceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
Scleria sellowiana Kunth,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Senecio reitzianus Cabrera,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Sinningia allagophylla (Mart.) Wiehler,red,tubular,birds,Gesneriaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Thryallis brachystachys Lindl.,yellow,actinomorphic,bees,Malpighiaceae oil-bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Trixis Sw.,yellow,capitulum,bees,Asteraceae bee pollination.,mixed_mating,likely_SC,inference,low
Urochloa arrecta (Hack.) Morrone & Zuloaga,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Vittaria scabrida Klotzsch ex Fée,none,none,unknown,Fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Vriesea rodigasiana É.Morren,red,tubular,birds,Bromeliaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Xylopia brasiliensis Spreng.,greenish,actinomorphic,beetles,Annonaceae beetle pollination.,obligate_outcrossing,likely_SI,inference,high
Achyrocline flaccida (Weinm.) DC.,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Acianthera macropoda (Barb.Rodr.) Pridgeon & M.W.Chase,greenish,zygomorphic,flies,Pleurothallidinae orchids typically fly-pollinated.,obligate_outcrossing,likely_SI,inference,medium
Acianthera serpentula (Barb.Rodr.) F.Barros,greenish,zygomorphic,flies,Fly-pollinated pleurothallid orchid.,obligate_outcrossing,likely_SI,inference,medium
Acisanthera variabilis Triana,pink,actinomorphic,bees,Melastomataceae buzz-pollinated by bees.,obligate_outcrossing,likely_SI,inference,high
Actinostemon concolor (Spreng.) Müll.Arg.,greenish,reduced,flies,Euphorbiaceae with small insect-pollinated flowers.,obligate_outcrossing,likely_SI,inference,medium
Adiantum pseudotinctum Hieron.,none,none,unknown,Fern reproducing by spores.,mainly_selfing,likely_SC,inference,high
Aechmea lindenii (É.Morren) Baker,red,tubular,birds,Bromeliaceae hummingbird pollination.,obligate_outcrossing,likely_SI,inference,high
Aegiphila obducta Vell.,white,tubular,bees,Lamiaceae-like floral syndrome; bee pollination.,mixed_mating,likely_SC,inference,medium
Agalinis communis (Cham. & Schltdl.) D'Arcy,purple,bilabiate,bees,Orobanchaceae bee-pollinated; partial selfing reported.,mixed_mating,likely_SC,inference,medium
Aiouea saligna Meisn.,yellowish,actinomorphic,flies,Lauraceae small insect-pollinated flowers.,obligate_outcrossing,likely_SI,inference,medium
Alchornea glandulosa Poepp.,greenish,reduced,wind,Often dioecious; wind/insect pollination.,obligate_outcrossing,SI,inference,high
Alsophila setosa Kaulf.,none,none,unknown,Tree fern; spore reproduction.,mainly_selfing,likely_SC,inference,high
Anathallis corticicola (Schltr. ex Hoehne) Pridgeon & M.W.Chase,greenish,zygomorphic,flies,Fly-pollinated pleurothallid orchid.,obligate_outcrossing,likely_SI,inference,medium
Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,greenish,zygomorphic,flies,Fly-pollinated pleurothallid orchid.,obligate_outcrossing,likely_SI,inference,medium
Aphelandra R.Br.,red,tubular,birds,Acanthaceae hummingbird pollination common.,obligate_outcrossing,likely_SI,inference,medium
Aspidosperma australe Müll.Arg.,white,tubular,moths,Apocynaceae sphingophilous syndrome.,obligate_outcrossing,likely_SI,inference,medium
Athenaea fasciculata (Vell.) I.M.C.Rodrigues & Stehmann,greenish,actinomorphic,flies,Solanaceae small insect-pollinated flowers.,mixed_mating,likely_SC,inference,medium
Borreria dasycephala (Cham. & Schltdl.) Bacigalupo & E.L.Cabral,white,actinomorphic,flies,Rubiaceae generalist pollination.,mixed_mating,likely_SC,inference,medium
Bothriochloa exaristata (Nash) Henrard,none,reduced,wind,Poaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Brosimum lactescens (Moore) C.C.Berg,greenish,actinomorphic,flies,Moraceae small insect-pollinated flowers.,obligate_outcrossing,likely_SI,inference,medium
Bunchosia maritima (Vell.) J.F.Macbr.,yellow,actinomorphic,bees,Malpighiaceae oil-bee pollination.,obligate_outcrossing,likely_SI,inference,high
Byrsonima ligustrifolia Mart.,yellow,actinomorphic,bees,Oil-bee pollination typical of Malpighiaceae.,obligate_outcrossing,likely_SI,inference,high
Calliandra tweedii Benth.,red,actinomorphic,birds,Mimosoid with bird-pollinated inflorescences.,obligate_outcrossing,likely_SI,inference,high
Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,yellow,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Calyptranthes lucida Mart. ex DC.,white,actinomorphic,bees,Myrtaceae insect-pollinated.,obligate_outcrossing,likely_SI,inference,high
Campomanesia guaviroba (DC.) Kiaersk.,white,actinomorphic,bees,Myrtaceae insect pollination.,obligate_outcrossing,likely_SI,inference,high
Campyloneurum aphanophlebium (Kunze) T.Moore,none,none,unknown,Fern reproducing by spores.,mainly_selfing,likely_SC,inference,high
Campyloneurum decurrens (Raddi) C.Presl,none,none,unknown,Fern reproducing by spores.,mainly_selfing,likely_SC,inference,high
Carex sellowiana Schltdl.,greenish,reduced,wind,Cyperaceae wind-pollinated.,obligate_outcrossing,SI,inference,high
Centrolobium robustum (Vell.) Mart. ex Benth.,yellow,papilionaceous,bees,Fabaceae bee pollination.,obligate_outcrossing,likely_SI,inference,medium
Cestrum axillare Vell.,greenish,tubular,moths,Nocturnal moth pollination.,obligate_outcrossing,likely_SI,inference,medium
Cestrum intermedium Sendtn.,greenish,tubular,moths,Nocturnal moth pollination.,obligate_outcrossing,likely_SI,inference,medium
Chaetogastra clinopodifolia DC.,purple,actinomorphic,bees,Melastomataceae buzz pollination.,obligate_outcrossing,likely_SI,inference,high
Chaetogastra versicolor (Lindl.) P.J.F.Guim. & Michelang.,purple,actinomorphic,bees,Buzz-pollinated Melastomataceae.,obligate_outcrossing,likely_SI,inference,high
Chaptalia integerrima (Vell.) Burkhardt,white,capitulum,flies,Asteraceae generalist.,mixed_mating,likely_SC,inference,medium
Chusquea tenella Nees,none,reduced,wind,Bamboo; wind-pollinated.,obligate_outcrossing,SI,inference,high
Cinnamomum pseudoglaziovii Lorea-Hern.,yellowish,actinomorphic,flies,Lauraceae small insect-pollinated flowers.,obligate_outcrossing,likely_SI,inference,medium
Condylostylis candida (Vell.) A.Delgado,white,actinomorphic,bees,Rubiaceae insect-pollinated.,obligate_outcrossing,likely_SI,inference,medium
Connarus rostratus (Vell.) L.B.Sm.,white,actinomorphic,bees,Connaraceae insect pollination.,obligate_outcrossing,likely_SI,inference,medium
